country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
Comoros,01-01-2000,68.780225685,22.396560989,1861,900,,-0.962091506,0.346905559,39.792591095,69.87,,104.9,304.466998,288.424502955,,17.228416094,,,,,,-1.158393860,0.331546426,,,,,0.271740607,,,351136579.648632,0.022758650,0.453906059,-1.168427587,0.291758239,-1.136425018,0.416249961,,0.89241081,,,35.895,10.51,58.757,536758,386036,-1.032639146,0.235382617,
"Congo, Dem. Rep.",01-01-2000,11.292207935,63.474118348,2267050,1543,,-1.459174871,0.329849035,6.7,97.94,93.569407983,1634.93,34138.39892,21.444748462,513.906843748,,,,,,,-1.791944146,0.282076955,,,,,0.005902114,,0.220260773,19088046305.7971,-2.474238157,0.396205485,-1.820564389,0.291214764,-1.843161941,0.400772959,,0.06221094,,,45.004,14.637,51.781,48616317,31541294,-1.733551145,0.221948862,
"Congo, Rep.",01-01-2000,30.863836018,64.992679356,341500,1646,27.169858232,-0.943886817,0.329849035,29.420082092,64.86,95.404319678,4346.986,13091.71866,9.177247438,-0.881991517,,,,,,,-1.150753498,0.282076955,,,,,0.026354732,,,3227927697.57921,-0.922982037,0.396205485,-1.348498344,0.254057616,-1.203269839,0.356891841,,0.51469523,,,37.158,12.204,53.682,3134030,1294511,-1.430073023,0.212500870,
Costa Rica,01-01-2000,36.036036036,55.958088523,51060,2926,24.319494119,0.698608518,0.221239895,96.94,32.95,1500.555514648,4946.8,10415.03619,77.931707795,10.961549659,14.169022493,,0.411350012,38.501848868,12.839712833,22.034122917,0.262206674,0.216711581,,,,,5.800253023,,,15013629658.6521,0.868542314,0.342506409,0.537079811,0.167420968,0.697727382,0.262556583,4.666950226,4.26218653,,47.4,19.788,3.995,77.586,3979193,1629400,1.094698906,0.193243936,6.257550998
Cote d'Ivoire,01-01-2000,61.635220126,16.020283019,318000,1348,,-0.777199268,0.250185400,48.732025146,63.72,170.420014203,6489.4,25736.87342,52.829150943,2.530775167,,,,,,,-1.007851839,0.238578707,,,,,0.231461671,,,16577533891.1783,-1.240804076,0.342506409,-1.247669816,0.182560176,-0.554069459,0.307668597,2.400310040,0.58690333,,,44.753,14.291,50.842,16799670,9549772,-0.932406247,0.197282910,
Croatia,01-01-2000,20.907855201,33.713692946,55912,1113,28.987413447,-0.035381917,0.200032040,100,26.76,2828.815062187,18034.4,25205.81114,79.916690514,4.611315547,7.412452849,,1.042500019,34.250294848,22.174787280,47.405214445,0.363394380,0.235669583,,,,,6.644882544,,3.020986603,22128719418.4376,0.280224890,0.342506409,-0.029868536,0.168582842,-0.118701681,0.273415029,6.112708569,6.49740553,,,9.8,11.2,72.807804878,4468302,2080978,0.510653853,0.184215844,2.220544478
Cuba,01-01-2000,61.024208566,22.672253259,107400,1335,,0.357008874,0.250185400,97,34.43,1140.035860570,28353.1,43543.71858,103.405875233,,,,0.478650004,,,,-0.368335545,0.238578707,,,,,0.541182549,,,30565400000,0.248432532,0.342506409,-1.049848676,0.183204845,-1.224113345,0.307668597,7.704810143,5.50884342,,,12.628,7.244,76.183,11105791,2740576,-1.635162115,0.207885876,5.285530765
Cyprus,01-01-2000,15.313852814,18.572510823,9240,498,56.613694545,1.081236482,0.250185400,100,3.08,3355.701159098,7127.7,8154.548029,102.623051948,4.141657647,,,0.226899996,,35.533168166,54.306046928,1.074904203,0.238578707,,,,,15.25539437,,2.822090151,9985844486.33365,0.517499864,0.342506409,1.016058803,0.183204845,1.087764502,0.307668597,4.989540100,2.18027377,,,12.655,7.458,76.568,948237,297291,1.057137489,0.207885876,0.843670494
Czechia,01-01-2000,55.390190242,34.130839912,77270,677,24.789750941,0.146037668,0.170937836,100,5.94,5703.816739107,124716.7,145672.3692,132.717264139,3.775388292,5.223885319,1.841416667,1.109969974,,14.474986056,33.588387660,0.587459147,0.201207742,,,,,9.780527888,,1.877356956,61828166496.0941,0.332739621,0.313380271,0.607116282,0.151929513,0.743665814,0.218081191,3.640340090,5.05704689,,,8.9,10.6,74.968292683,10255063,2667547,0.762775123,0.202215627,1.866198456
Denmark,01-01-2000,66.175,14.29,40000,703,27.280885228,2.321177483,0.199174166,100,10.73,6482.488628396,52602,70523.49979,133.4904,2.903282032,,,2.186199903,,31.594119030,36.793410753,1.896548867,0.203009099,,,,,39.17243086,,1.457444051,164158739097.623,1.501068950,0.313380271,1.808733463,0.162823543,1.710643649,0.234316275,8.084340096,6.73534012,,23.8,12.6,10.9,76.592682927,5339616,795603,1.535965323,0.202215627,1.086009113
